Air Temp (F),Soil Moisture Content (%),Relative Humidity (%),Heat Index (F),Sunlight Illumination (lux),Watering?
62.6,528,50,60.91,415.11,TRUE
62.6,533,50,60.91,404.36,TRUE
62.6,539,50,60.91,470.81,TRUE
62.42,542,49,60.67,548.13,TRUE
62.42,549,49,60.67,404.36,TRUE
62.42,554,49,60.67,548.13,TRUE
62.24,556,49,60.47,560.53,TRUE
62.24,559,49,60.47,554.31,TRUE
62.24,559,48,60.42,554.31,TRUE
62.24,560,48,60.42,554.31,TRUE
62.24,559,48,60.42,554.31,TRUE
62.24,559,48,60.42,554.31,TRUE
62.24,559,49,60.47,548.13,TRUE
62.24,558,49,60.47,548.13,TRUE
62.24,558,49,60.47,409.72,TRUE
62.24,558,49,60.47,409.72,TRUE
62.24,556,49,60.47,53.3,TRUE
62.06,706,49,60.27,119.79,TRUE
62.06,701,49,60.27,113.3,TRUE
62.06,703,48,60.22,126.41,TRUE
62.06,723,48,60.22,116.53,TRUE
62.06,715,48,60.22,195.64,TRUE
62.06,669,48,60.22,258.23,TRUE
62.06,669,49,60.27,147.05,TRUE
62.24,671,49,60.47,140.04,TRUE
62.24,668,49,60.47,140.04,TRUE
62.24,658,50,60.51,140.04,TRUE
62.42,670,50,60.71,133.16,TRUE
62.42,670,51,60.76,140.04,TRUE
62.42,671,50,60.71,74.34,TRUE
62.42,670,50,60.71,113.3,TRUE
62.42,671,50,60.71,116.53,TRUE
62.42,675,50,60.71,129.77,TRUE
62.6,646,50,60.91,126.41,TRUE
62.6,370,50,60.91,154.18,FALSE
62.6,376,50,60.91,154.18,FALSE
62.78,385,51,61.15,415.11,FALSE
62.78,386,52,61.2,393.74,FALSE
62.78,388,54,61.3,409.72,FALSE
62.78,390,55,61.34,425.99,FALSE
62.78,387,56,61.39,388.47,FALSE
62.78,385,57,61.44,393.74,FALSE
62.78,381,57,61.44,393.74,FALSE
62.78,378,58,61.48,393.74,FALSE
62.78,375,58,61.48,378.04,FALSE
62.78,373,59,61.53,362.63,FALSE
62.78,371,60,61.58,347.5,FALSE
62.78,369,61,61.63,289.81,FALSE
62.78,368,61,61.63,285.21,FALSE
62.6,367,62,61.47,289.81,FALSE
62.6,367,63,61.52,285.21,FALSE
62.6,352,63,61.52,253.84,FALSE
62.6,336,62,61.47,267.1,FALSE
62.42,354,61,61.23,271.58,FALSE
62.42,362,61,61.23,289.81,FALSE
62.42,365,61,61.23,285.21,FALSE
62.42,365,62,61.28,285.21,FALSE
62.42,366,63,61.32,280.64,FALSE
62.42,367,63,61.32,276.09,FALSE
62.42,366,63,61.32,285.21,FALSE
62.42,362,63,61.32,280.64,FALSE
62.42,363,63,61.32,280.64,FALSE
62.42,364,62,61.28,289.81,FALSE
62.24,364,61,61.03,383.24,FALSE
62.24,365,60,60.98,362.63,FALSE
62.24,367,61,61.03,337.58,FALSE
62.24,368,60,60.98,228.16,FALSE
62.24,370,60,60.98,195.64,FALSE
62.24,369,60,60.98,154.18,FALSE
62.24,375,60,60.98,183.96,FALSE
62.24,377,60,60.98,223.99,FALSE
62.24,376,60,60.98,154.18,FALSE
62.24,375,60,60.98,113.3,FALSE
62.24,674,60,60.98,103.81,TRUE
62.24,667,61,61.03,106.94,TRUE
62.24,667,61,61.03,106.94,TRUE
62.24,336,61,61.03,285.21,FALSE
62.24,344,61,61.03,362.63,FALSE
62.24,358,61,61.03,415.11,FALSE
62.24,370,60,60.98,409.72,FALSE
62.24,379,60,60.98,262.65,FALSE
62.24,379,59,60.94,280.64,FALSE
62.24,383,59,60.94,119.79,FALSE
62.24,384,58,60.89,126.41,FALSE
62.24,385,58,60.89,133.16,FALSE
62.24,385,57,60.84,119.79,FALSE
62.24,377,56,60.8,129.77,FALSE
62.24,376,57,60.84,129.77,FALSE
62.24,376,59,60.94,97.64,FALSE
62.24,377,61,61.03,123.09,FALSE
62.06,377,63,60.93,88.65,FALSE
62.06,376,64,60.97,103.81,FALSE
61.88,377,65,60.82,119.79,FALSE
61.7,377,66,60.67,129.77,FALSE
61.7,376,67,60.72,133.16,FALSE
61.52,375,68,60.57,126.41,FALSE
61.34,375,69,60.42,116.53,FALSE
61.34,374,69,60.42,133.16,FALSE
61.16,375,70,60.27,140.04,FALSE
60.98,374,70,60.07,147.05,FALSE
60.98,375,71,60.11,150.6,FALSE
60.98,376,71,60.11,119.79,FALSE
60.8,375,72,59.96,133.16,FALSE
60.8,376,72,59.96,129.77,FALSE
60.62,376,73,59.81,140.04,FALSE
60.62,376,72,59.77,133.16,FALSE
60.44,376,72,59.57,126.41,FALSE
60.26,376,72,59.37,126.41,FALSE
60.26,377,72,59.37,126.41,FALSE
60.08,377,72,59.17,133.16,FALSE
60.08,378,72,59.17,126.41,FALSE
60.08,378,72,59.17,113.3,FALSE
59.9,378,72,58.97,133.16,FALSE
59.9,378,72,58.97,119.79,FALSE
59.9,378,73,59.02,126.41,FALSE
59.9,378,73,59.02,106.94,FALSE
59.9,379,74,59.07,113.3,FALSE
59.9,378,74,59.07,100.71,FALSE
59.9,378,74,59.07,103.81,FALSE
59.72,378,73,58.82,113.3,FALSE
59.54,378,73,58.63,110.1,FALSE
59.36,378,72,58.38,88.65,FALSE
59.36,378,71,58.33,106.94,FALSE
59.18,379,71,58.14,82.82,FALSE
59.18,378,71,58.14,106.94,FALSE
59.18,378,71,58.14,100.71,FALSE
59.18,379,72,58.18,94.61,FALSE
59.36,379,73,58.43,77.13,FALSE
59.36,378,73,58.43,129.77,FALSE
59.36,379,74,58.47,191.72,FALSE
59.54,379,74,58.67,133.16,FALSE
59.54,379,75,58.72,43.68,FALSE
59.54,376,75,58.72,48.41,FALSE
59.72,385,75,58.92,53.3,FALSE
59.72,659,75,58.92,53.3,TRUE
59.72,203,75,58.92,48.41,FALSE
59.72,258,76,58.96,276.09,FALSE
59.72,280,76,58.96,253.84,FALSE
59.72,296,76,58.96,294.45,FALSE
59.72,637,76,58.96,453.76,TRUE
59.72,240,76,58.96,566.78,FALSE
59.9,248,76,59.16,499.88,FALSE
59.9,271,78,59.26,303.82,FALSE
59.9,301,76,59.16,453.76,FALSE
59.9,315,76,59.16,322.92,FALSE
59.9,322,76,59.16,313.31,FALSE
59.9,328,76,59.16,285.21,FALSE
59.72,331,75,58.92,352.51,FALSE
59.72,333,75,58.92,236.6,FALSE
59.72,331,75,58.92,267.1,FALSE
59.72,330,75,58.92,236.6,FALSE
59.72,328,75,58.92,271.58,FALSE
59.9,328,75,59.12,245.16,FALSE
59.9,328,75,59.12,249.48,FALSE
59.9,329,75,59.12,258.23,FALSE
59.9,329,76,59.16,253.84,FALSE
59.9,330,76,59.16,249.48,FALSE
59.9,331,76,59.16,253.84,FALSE
59.9,331,76,59.16,337.58,FALSE
59.9,332,76,59.16,342.52,FALSE
59.9,333,76,59.16,337.58,FALSE
59.9,333,78,59.26,211.65,FALSE
59.9,334,78,59.26,176.33,FALSE
59.72,334,78,59.06,129.77,FALSE
59.72,334,78,59.06,154.18,FALSE
59.72,337,78,59.06,258.23,FALSE
59.72,340,78,59.06,211.65,FALSE
59.54,241,76,58.77,215.73,FALSE
59.54,240,76,58.77,637.8,FALSE
59.54,240,76,58.77,199.6,FALSE
59.54,651,76,58.77,183.96,TRUE
